item_id,title,series_name,vol_no,edition_type,special_benefits,author,publisher,release_date,price,rating,sales_point,rank,collected_at
396136941,세레나 9,세레나,9,,"- 초판 한정 부록 : 일러스트 엽서 1종, 면지에 작가님 친필 사인(인쇄본)",정이나,네이버웹툰,2026-07,14400,,2355,946,2026-09-07T08:54:48+09:00
220169887,보석의 나라 10,보석의 나라,10,,,이치카와 하루코,YNK MEDIA(만화),2019-12,4500,10.0,2479,947,2026-09-07T08:54:48+09:00
322921540,원피스 99,원피스,99,,- 밀짚모자 루피,오다 에이치로,대원씨아이(만화),2021-08,4950,10.0,2381,948,2026-09-07T08:54:48+09:00
345784263,일본삼국 1,일본삼국,1,,,마쓰키 잇카,재담,2024-08,6750,9.2,2341,949,2026-09-07T08:54:48+09:00
368527098,사랑의 유령,사랑의 유령,,,- 솔트 코믹스,호토나카,YNK MEDIA(만화),2025-07,5400,6.0,2225,950,2026-09-07T08:54:48+09:00
298972634,나루토 Naruto 8,나루토 Naruto,8,,,키시모토 마사시,대원씨아이(만화),2001-10,4950,,2267,951,2026-09-07T08:54:48+09:00
347631706,악마에 입문했습니다! 이루마 군 : if Episode of 마피아 1,악마에 입문했습니다! 이루마 군 : if Episode of 마피아,1,,,니시 오사무,서울미디어코믹스(서울문화사),2024-09,5850,9.8,2266,952,2026-09-07T08:54:48+09:00
391724707,명탐정 코난 로맨틱 러버스 셀렉션,명탐정 코난 로맨틱 러버스 셀렉션,,,,아오야마 고쇼,서울미디어코믹스(서울문화사),2026-04,10800,10.0,2228,953,2026-09-07T08:54:48+09:00
298665851,아인 1,아인,1,,,사쿠라이 가몬,학산문화사(만화),2014-08,5400,10.0,2213,954,2026-09-07T08:54:48+09:00
389001364,디그 잇 1,디그 잇,1,,,Yoshidamaru,학산문화사(만화),2026-04,6300,8.0,1990,955,2026-09-07T08:54:48+09:00
328898132,원피스 98,원피스,98,,- 충신 킨,오다 에이치로,대원씨아이(만화),2021-03,4950,8.0,2107,956,2026-09-07T08:54:48+09:00
338379758,이거 그리고 죽어 1,이거 그리고 죽어,1,,,토요다 미노루,대원씨아이(만화),2024-04,5400,9.7,2006,957,2026-09-07T08:54:48+09:00
325418441,먼작귀 2,먼작귀,2,,- 먼가 작고 귀여운 녀석,나가노,미우(대원씨아이),2022-08,10800,,1920,958,2026-09-07T08:54:48+09:00
374484760,서유요원전 서역편 : 화염산의 장 2,서유요원전 서역편 : 화염산의 장,2,,,모로호시 다이지로,문학동네,2025-10,9900,9.6,2028,959,2026-09-07T08:54:48+09:00
397818141,카난 님은 초보 악마 12,카난 님은 초보 악마,12,,,논코,학산문화사(만화),2026-07,5400,,2075,960,2026-09-07T08:54:48+09:00
324896200,보석의 나라 12,보석의 나라,12,,,이치카와 하루코,YNK MEDIA(만화),2023-09,4500,4.0,2061,961,2026-09-07T08:54:48+09:00
394169803,버저 비터 신장판 2,버저 비터 신장판,2,,,이노우에 타케히코,대원씨아이(만화),2026-05,21600,9.3,1950,962,2026-09-07T08:54:48+09:00
326489876,네가 죽을 때까지 사랑하고 싶어 6,네가 죽을 때까지 사랑하고 싶어,6,,,나치 아오노,학산문화사(만화),2023-10,5400,10.0,1856,963,2026-09-07T08:54:48+09:00
319996599,명탐정 코난 2,명탐정 코난,2,,,아오야마 고쇼,서울미디어코믹스(서울문화사),2020-08,5400,10.0,1830,964,2026-09-07T08:54:48+09:00
331618813,먼작귀 1 (그림책 포함 특별판),먼작귀,1,그림책 포함 특별판,- 먼가 작고 귀여운 녀석,나가노,미우(대원씨아이),2022-06,17820,,1876,965,2026-09-07T08:54:48+09:00
400001034,피토스포룸 첫 번째 잎,피토스포룸 첫 번째 잎,,,,미카미 시노,인디고,2026-08,6300,10.0,1850,966,2026-09-07T08:54:48+09:00
310530480,만화로 보는 일리아스,만화로 보는 일리아스,,,- 트로이의 노래,동사원형,한빛비즈,2023-02,17550,9.9,1907,967,2026-09-07T08:54:48+09:00
